pos	id	title	duration_s	words	sentences	wps	verdict	provenance
69	I1qnZa8whPc	EEVblog 1708 - What's This SMD Part?	537	1504	157	9.6	good	youtube-asr
70	km6sJSXot74	EEVblog 1707 - REPAIR: Goal Zero Yeti 400 Lithium Battery	1303	3886	323	12.0	good	youtube-asr
71	uWaeINkRGss	EEVblog 1706 - K8 Wrist Worn Multimeter REVIEW	1072	2945	326	9.0	good	youtube-asr
72	sQOQoL2QDBI	EEVblog 1705 - World's First Desktop Personal Computer: Olivetti Programma 101	1995	5374	500	10.7	good	youtube-asr
73	21ttudPv2e8	EEVblog 1704 - WTF? The ANENG 626 Multimeter REVIEW	1385	3765	470	8.0	good	youtube-asr
74	YCvDl0oXOSY	EEVblog 1703 - µTimer Project Part 2: An E-Paper Like LCD	1436	4298	413	10.4	good	youtube-asr
75	BSqKN2AaGqI	EEVblog 1702 : A Most Interesting REPAIR	1718	4793	592	8.1	good	youtube-asr
76	2GJZrRL75uA	eevBLAB 132 - Insta360 Ace Pro 2 Camera RANSOMWARE	522	1551	129	12.0	good	youtube-asr
77	oIQvd4eEd4c	EEVblog 1701 - $599 Australian Made Moku:Go Oscilloscope REVIEW	4172	12236	1093	11.2	good	youtube-asr
78	NvZBvUFscg0	EEVblog 1700 - Do Dumpster LCD TV's Make Good LED Light Panels?	1600	4692	369	12.7	good	youtube-asr
79	VPJlrFRrixA	eevBLAB 131 - Australian Government Advice: Online Privacy	592	1763	216	8.2	good	youtube-asr
80	KhQn-RUDZ3I	EEVblog 1699 - µTimer PROJECT Part 1 - The LCD	2974	8882	735	12.1	good	youtube-asr
81	8QkCZUWYoY8	EEVblog 1698 - Awesome Ebay AC Power Source: GW Instek APS-7050	2200	6453	611	10.6	good	youtube-asr
82	7NeZeqy0Knk	EEVblog 1697 - What's Up With Different Brand Op-Amps?	1119	3653	223	16.4	good	youtube-asr
83	tnrazDCiTTc	EEVblog 1696 - TUTORIAL: Wind Power Efficiency 101	476	1286	79	16.3	good	youtube-asr
84	8B4y9yym5iE	EEVblog 1695 - Mailbag: Robin RCD Tester, PCB Book, USB Knob, Geekom IT12 Mini PC	2101	6016	662	9.1	good	youtube-asr
85	HyIYb2gAN6g	EEVblog 1694 - Scarlet Rae Teardown + Design Discussion with Xentronics	760	2520	241	10.5	good	youtube-asr
86	SVP7oPLCNuc	eevBLAB 130 - Youtube Are FINALLY Demonetising AI Slop Channels?	896	2616	177	14.8	good	youtube-asr
87	dv3kIiqOQOw	EEVblog 1693 - Uni-T UTE310 Power Meter Teardown & Practical Demo	2526	7683	602	12.8	good	youtube-asr
88	UER8fiI9WrY	EEVblog 1692 - $130 Fluke 17B MAX Multimeter REVIEW	2224	6461	738	8.8	good	youtube-asr
89	KbFogh7XqBQ	eevBLAB 129 - WARNING: New Youtube Creator Channel Hijack Scam	652	1920	140	13.7	good	youtube-asr
90	Pr-C7jGczlE	EEVblog 1691 - Uni-T UDP6731 360W Bench PSU REVIEW	3106	8962	854	10.5	good	youtube-asr
91	CktljgyKILE	EEVblog 1690 - Mailbag: Zifnu LED, Quantum Diamonds, Logic Gates, M.2 NAS	2336	6844	789	8.7	good	youtube-asr
92	ZaGAGN-ygw0	EEVblog 1689 - ANOTHER Dumpster Diving A3 Colour Photocopier!	579	1569	218	7.2	good	youtube-asr
93	xGwnAH_qvto	EEVblog 1688 - Constant Current Sources EXPLAINED + DEMO	2064	6416	456	14.1	good	youtube-asr
94	5C_IT9F4ZkA	eevBLAB 128 - Why Dont I Go OFF-GRID Solar/Battery?	839	2751	170	16.2	good	youtube-asr
95	PWX71U_YG6g	EEVblog 1687 - A Pointless Alkaline Battery LEAKAGE Repair	780	2069	251	8.2	good	youtube-asr
96	zhnhfhyt6Sk	EEVblog 1686 - Electronex 2025 Melbourne - Walkaround	3051	8092	1197	6.8	good	youtube-asr
97	eyj-vaNwbho	EEVblog 1685 - Australian Manufacturing Week 2025: Walkaround	3196	8128	1219	6.7	good	youtube-asr
98	VqDljuHjPrY	EEVblog 1684 - Awesome Logging Software:  Test Controller	845	2564	254	10.1	good	youtube-asr
99	o3f9UvYSq9o	EEVblog 1683 - Sun-Ways Solar Freakin' RAILways - Part 2	2038	5959	500	11.9	good	youtube-asr
100	rNZIjCyQapg	EEVblog 1682 - Enphase Microinverter FAIL & Warranty Install	789	2170	220	9.9	good	youtube-asr
101	Xfs0dglIVOM	EEVblog 1681 - Mailbag: Nice DIY CC Load,  Amazing Proto Boards, Ian Johnston	1650	4921	442	11.1	good	youtube-asr
102	wTzQg1N-SLI	eevBLAB 127 - Starlink as a Satellite Energy Utility?	647	1950	155	12.6	good	youtube-asr
103	voSKGJC-QlM	EEVblog 1680 - Free Energy from the Earth's Magnetic Field?	965	2755	213	12.9	good	youtube-asr
104	32-DhE_5wG0	EEVblog 1679 - Why Does a Uni-T AWG Cost $5800? - BOM Cost Analysis	2518	8035	629	12.8	good	youtube-asr
105	CYm-4gbl1Zc	ElectroBOOM Stalks Sydney	3188	8991	1465	6.1	good	youtube-asr
106	y-a5rJ2ql10	I was attacked on the street by a crazed fan	84	217	53	4.1	good	youtube-asr
107	mfZcvvBwoj8	EEVblog 1678 - Oscilloscope Trigger Warning	1274	3597	1	3597.0	needs-whisper	whisper-large-v3
108	6TYtdpbFWuA	EEVblog 1677 - Why Do Fuses Do This? (EXPERIMENT)	827	2399	275	8.7	good	youtube-asr
109	TkmMitYnHUA	New Brymen BM787BT Bluetooth Multimeter Teardown (Live Recorded)	2960	6902	0	6902.0	needs-whisper	whisper-large-v3
110	2WQr8bGtkLg	EEVblog 1676 - Lab Timer HACK	967	2944	232	12.7	good	youtube-asr
111	kAWiT4eCQHs	EEVblog 1675 - Corporate Enforced WASTE! Ninja Blender REPAIR (Right To Repair)	270	38	10	3.8	good	youtube-asr
112	brj1-AYDCXM	eevBLAB 126 - Ebay Oscilloscope ABUSE	379	933	2	466.5	needs-whisper	whisper-large-v3
113	hv8ptePTbAc	R&S RTB2004 Firmware Update	363	986	71	13.9	good	youtube-asr
114	x14bCIuQO1Q	eevBLAB 125 - Deep Cycle Systems DCS Defamation Lawsuit WIN!	464	1140	89	12.8	good	youtube-asr
115	R9jd3Ftg_yY	EEVblog 1674 - Dumpster Diving HAUL!	701	2133	222	9.6	good	youtube-asr
116	n-mFgfLasM8	EEVblog 1673 - JBL Partybox 310 Repair - Part 2 (SPOILER)	550	1659	1	1659.0	needs-whisper	whisper-large-v3
117	WAz-_24-uAI	EEVblog 1672 - JBL REPAIR: You'll never guess the fault!	2818	8156	867	9.4	good	youtube-asr
118	9lC-k5yU9W4	EEVblog 1671 - Beware of Multimeter Continuity Latching	797	2183	200	10.9	good	youtube-asr
119	lqSC96uoNLg	EEVblog 1670 - BM786 Multimeter BATTERY LEAKAGE REPAIR + GIVEAWAY	1170	3088	340	9.1	good	youtube-asr
120	n4sL8pCmbyY	eevBLAB 124 - Microsoft Majorana 1 Quantum Computer: Can it Muntz?	613	1965	0	1965.0	needs-whisper	whisper-large-v3
121	FyTRrPWWF2s	EEVblog 1669 - Agilent 53131A VFD to LED Display Upgrade MAILBAG	887	2565	220	11.7	good	youtube-asr
122	KqlHjIVyzOA	EEVblog 1668 - HORRIFIC Alkaline Battery Leakage in Rare Prototype Multimeter	1160	3292	2	1646.0	needs-whisper	whisper-large-v3
123	8GLL6P662Fo	EEVblog 1667 - Reverse Engineering the Brymen BM2257 Multimeter LowZ Mode	1299	4061	22	184.6	needs-whisper	whisper-large-v3
124	Q4tcpHrTSP0	EEVblog 1666 - Blown SMD Component Identification	960	2944	1	2944.0	needs-whisper	whisper-large-v3
125	c_mmVFMXFQo	EEVblog 1665 - Keithley VFD REPAIR 2 - Electric Boogaloo	1461	4210	12	350.8	needs-whisper	whisper-large-v3
126	D3c3UVDSKTg	EEVblog 1664 - REPAIR with Junk Bin Parts! Keithley 2302	1594	4550	380	12.0	good	youtube-asr
127	9lXCqePhJ4g	2025 EEVblog Viewer Survey and GIVEAWAY	125	392	1	392.0	needs-whisper	whisper-large-v3
128	ETopbGankfo	EEVblog 1663 - BM786 Multimeter REPAIR + InEr Error Investigation	1571	4422	4	1105.5	needs-whisper	whisper-large-v3
129	pD0dVebSZMs	EEVblog 1662 - Vintage Tandy 200 Portable Computer Claytons Repair/Teardown	1878	5507	11	500.6	needs-whisper	whisper-large-v3
130	oz6HuxMkjvI	EEVblog 1661 - AC Basics Tutorial Part 5: Time Domain vs Frequency Domain	730	2017	147	13.7	good	youtube-asr
131	i54YDHeU4ww	EEVblog 1660 - AC Basics Tutorial Part 4: Resistors, Capacitors, Inductors	1075	3085	200	15.4	good	youtube-asr
132	KjcZCN7e1zU	EEVblog 1659 - Quick 861 Pro Hot Air Station REVIEW	1889	5352	549	9.7	good	youtube-asr
133	1wYQy4AwC48	EEVblog 1658 - TUTORIAL: Mean vs Median	860	2547	170	15.0	good	youtube-asr
134	JVep7rWhDeE	"EEVblog 1657 - DUMPSTER Samsung 75"" QLED One Connect TV"	1583	4729	465	10.2	good	youtube-asr
135	FqN77SZF5zU	EEVblog 1656 - MAILBAG: ElectroPermanent Magnet, DIN PSU's, Sponge, Beelink EQ14 N150 PC	1739	5057	544	9.3	good	youtube-asr
136	pXZtk68B3zY	EEVblog 1655 - How to Discharge Capacitors SAFELY using a Multimeter!	550	1694	6	282.3	needs-whisper	whisper-large-v3
137	8Mfw0X5jY3A	eevBLAB 123 - MORE Youtube AI BS! - AI Description Summaries	547	1673	0	1673.0	needs-whisper	whisper-large-v3
138	RzlClNhheC8	EEVblog 1654 - Lee Felsenstein: The Computer Revolution & Counterculture	10687	26551	3	8850.3	needs-whisper	whisper-large-v3
139	Gr6gBjDxP5M	EEVblog 1653 - Alkaline Battery Leakage Testing 2 - Electric Boogaloo	896	2776	238	11.7	good	youtube-asr
140	jVPQGPM5Tgg	EEVblog 1652 - Why is my Lab Switchboard Wired Like This?	436	1434	1	1434.0	needs-whisper	whisper-large-v3
141	G0WaNb8A_SY	EEVblog 1651 - Home Electrical Switchboard UPGRADE!	2203	7319	672	10.9	good	youtube-asr
142	61xuDDVCPx8	EEVblog 1650 - Sequre HT-140 SMD Desoldering Tweezers REVIEW	1119	3254	346	9.4	good	youtube-asr
143	OnoFcU0gro0	eevBLAB 122 - Flake 778 Multimeter Smartwatch!	346	988	0	988.0	needs-whisper	whisper-large-v3
144	MoG4nINWp5k	EEVblog 1649 - Mailbag: M5stack, Beelink Mini PC, ZOYI LCR, ToughOn Battery	3253	9448	1116	8.5	good	youtube-asr
145	xrVXfeHxH0s	EEVblog 1648 - USB Battery Bank mAh Capacity ratings are a LIE!	179	522	5	104.4	needs-whisper	whisper-large-v3
146	IkYCU3wqRSQ	EEVblog 1647 - Road Based Energy REBRANDED. Rouute vs R-2ENERGY	729	1859	204	9.1	good	youtube-asr
147	MRSP647qda4	EEVblog 1646 - iFixIt FixHub Portable USB Soldering Station REVIEW	2303	6885	687	10.0	good	youtube-asr
148	BWQo6pqbkRo	EEVblog 1645 - $80 Quick TS11 Soldering Station REVIEW	1071	3132	349	9.0	good	youtube-asr
149	YM5nKvIH2vw	EEVblog 1644 - Mailbag: CrowView Monitor, Casio Game, 4-20mA Encoder, Wurkkos Battery, Rulerize	2432	7208	5	1441.6	needs-whisper	whisper-large-v3
150	IVnOy8dYBkA	EEVblog 1643 - DON'T BUY this Cheap 7kW 32A EV EVSE Charger	545	1652	146	11.3	good	youtube-asr
151	_gd9mV7fQ6E	EEVblog 1642 - Can I Resurrect My First Digital Multimeter?	1088	2951	275	10.7	good	youtube-asr
152	tqp0lEfUKTM	EEVblog 1641 - How DC Solar Isolators Work (TEARDOWN)	887	2665	196	13.6	good	youtube-asr
153	rhZaWAIag6Y	EEVblog 1640 - Mailbag: 4k Microscope, Panaplex Displays, Piezo Singing, RF magic	2378	6978	655	10.7	good	youtube-asr
154	1fmq1EXSBRg	EEVblog 1639 - Keysight InfiniiVision HD3 Oscilloscope Teardown	1795	5171	480	10.8	good	youtube-asr
155	4UY3uI6tl1E	eevBLAB 121 - NEW Fluke 87VI Multimeter! MAYBE?	397	1178	114	10.3	good	youtube-asr
156	amxBD2WzEA4	EEVblog 1638 - NEW Keysight Megazoom V ASIC 1GHz HD3 Oscilloscope!	3147	9545	856	11.2	good	youtube-asr
157	lkjyeI0ykGM	EEVblog 1637: Solar Freakin' Space Mirrors! - Reflect Orbital DEBUNKED	1369	4429	335	13.2	good	youtube-asr
158	52w3xeXrMU8	EEVblog 1636 - Ultimate Multimeter Beginners Guide!	1551	4994	339	14.7	good	youtube-asr
159	tz4cYPj3Kls	EEVblog 1635 - Mailbag: RF book, Probe Bonanza, Beelink Ryzen 9 EQR6 PC, CueCat	2139	6076	629	9.7	good	youtube-asr
160	UXnVOoBtlcU	eevBLAB 120 - DCS sues Youtuber for Defamation! - Threatens entire review industry	1626	4824	302	16.0	good	youtube-asr
161	TB5B4tMdxpA	EEVblog 1634 - 15kWh AERL LFP Home Storage Battery Install!	2010	6179	562	11.0	good	youtube-asr
162	NX2mOOpPs2I	"eevBLAB 119 - The History of the EEVBlog ""Hand"" Photo"	899	2811	210	13.4	good	youtube-asr
163	4Qcd_wNjpjQ	EEVblog 1633 Part 2 - WAVJA Patent, 300kW Solar Balls!	1558	4192	385	10.9	good	youtube-asr
164	R4WQhOVlOyA	EEVblog 1633 - WAVJA Solar Balls, 60x Better Than A Solar Panel? - Part 1	1370	3927	427	9.2	good	youtube-asr
165	GjEo7G-eCRc	EEVblog 1632 - WHY sell 2CH Oscilloscopes? + Test Engineering	1685	5259	282	18.6	good	youtube-asr
166	vqJ5xbToN5w	EEVblog 1631 - $230 Micsig MDP700 HV Differential Probe Review	1724	5219	407	12.8	good	youtube-asr
167	PC-2hyUgzlM	EEVblog 1630 - Solar Panels for Water Pre-Heating?	819	2561	176	14.6	good	youtube-asr
168	OI5ItGZX40o	EEVblog 1629 - Dumpster Find: A3 Colour Photocopier!	893	2345	296	7.9	good	youtube-asr
169	mztgHWnDkHo	EEVblog 1628 - Home Solar Power Re-Install + Upgrade + FAIL	2447	7265	539	13.5	good	youtube-asr
170	cnoN2gtT4iM	EEVblog 1627 - Electronex: Engineering Consulting with Xentronics	859	2949	0	2949.0	needs-whisper	whisper-large-v3
171	M12G7B6Fg78	EEVblog1626 - YOU HAD ONE JOB! (Solar Power Install FAIL)	770	2345	173	13.6	good	youtube-asr
172	PHuXVHKYMsY	EEVblog 1625 - Electronex: Scope Wars: The Rise of Uni-T	677	1979	171	11.6	good	youtube-asr
173	mH0yzt85s-c	EEVblog 1624 - Electronex: Liquid Instruments Moku Oscilloscope	801	2454	1	2454.0	needs-whisper	whisper-large-v3
174	PLFp0CfJTFY	EEVblog 1623 - Electronex 2024 Walkthrough	2474	6676	10	667.6	needs-whisper	whisper-large-v3
175	1LH3ICvIpL0	EEVblog 1622 - The BIG BEGINNER MISTAKE with Multimeters	745	2132	170	12.5	good	youtube-asr
176	ikaR1J6pYHU	EEVblog 1621 - Mailbag: RadiaCode Radiation Monitor + LattePanda Mu Compute Module	1996	5937	609	9.7	good	youtube-asr
177	n0_cTg36A2Q	EEVblog 1620 - Deye Solar Hybrid Inverter EXTREME TEARDOWN	2479	7259	490	14.8	good	youtube-asr
178	ABqDGjcwMsg	EEVblog 1619 - Mailbag: Featuring Don McKenzie	3299	9288	1010	9.2	good	youtube-asr
179	3RK-ObbXI_w	EEVblog 1618 - The Equation For Energy In A Capacitor	129	350	29	12.1	good	youtube-asr
180	fy9pXlkWt5Y	EEVblog 1617 - Architectural LED Lighting Build + Test	1938	5527	474	11.7	good	youtube-asr
181	np8AAbjBnUI	EEVblog 1616 - Weller Zero Smog Fume Extractor Review	1135	3127	359	8.7	good	youtube-asr
182	RToaq4pYp_M	EEVblog 1615 - Dumpster Dive HP Pro One PC	1020	2699	3	899.7	needs-whisper	whisper-large-v3
183	kjOAkHqlQw0	EEVblog 1614 - Circuit Design TIP: Crystal Oscillators	488	1528	106	14.4	good	youtube-asr
184	5B6O1aFA5l8	eevBLAB 118 - NEW Apple iPad Pro: Volumetric Engineering vs Marketing	652	1982	5	396.4	needs-whisper	whisper-large-v3
185	RAN0hUrAg0s	EEVblog 1613 - Audiophile REPAIR: $4500 Chord Hugo DAC	1518	3923	410	9.6	good	youtube-asr
186	Pf1TSnMRh7E	EEVblog 1612 - Siglent SDS1000X HD 12 bit Oscilloscope Teardown	1335	3908	343	11.4	good	youtube-asr
187	n5p1yaebaBM	EEVblog 1611 - Top 5 Jellybean 7400 & 4000 Logic	2335	7284	500	14.6	good	youtube-asr
188	y5YujLhFtzU	EEVblog 1610 - Deye 5kW Hybrid Solar Inverter	1273	3810	326	11.7	good	youtube-asr
189	oRvxjxs3cE0	EEVblog 1609 - Composite Amplifier Tutorial + Practical Demo	1388	3920	263	14.9	good	youtube-asr
190	QQhQ7yXogwo	EEVblog 1608 - Mailbag	3306	9763	941	10.4	good	youtube-asr
191	EX1Gid2SlIc	EEVblog 1607 - PSU Switching Noise Reduction via Vibration	457	1245	121	10.3	good	youtube-asr
192	Pd6LG7iP2GQ	EEVblog 1606 - $45 AlienTek DP100 100W USB-C PSU REVIEW	2384	7086	710	10.0	good	youtube-asr
193	BpW_DxGRCRw	EEVblog 1605 - JBL Charge Speaker REPAIR	1676	4575	481	9.5	good	youtube-asr
194	GRRvGj8OT_A	EEVblog 1604 - BEWARE! Multimeter Burden Voltage	383	1154	77	15.0	good	youtube-asr
195	Nl9NL1oup3Q	EEVblog 1603 - Colas Wattway Solar Roadways is DEAD	1055	2932	249	11.8	good	youtube-asr
196	u6tuZ7plOa4	EEVblog 1602 - Sony Amplifier REPAIR ADVENTURE	2691	7523	824	9.1	good	youtube-asr
197	gZIRPJt69sM	EEVblog 1601 - How VFD (Vacuum Fluorescent) Displays Work	606	1854	104	17.8	good	youtube-asr
198	SGwHRImfE4E	EEVblog 1600 - Rouute: Road Based Energy BUSTED	1317	3538	339	10.4	good	youtube-asr
199	XYdmX8w8xwI	EEVblog 1599 - TOP 5 Jellybean Bipolar Transistors	1370	3990	285	14.0	good	youtube-asr
200	igQoD_I7Arw	EEVblog 1598 - ANENG AC11 Socket Tester TEARDOWN + SCHEMATIC Reverse Eng	1187	3712	284	13.1	good	youtube-asr
201	kpzNVsSmUu0	EEVblog 1597 - Zoyi ZT-703S $80 2CH 50MHz Oscilloscope/Multimeter Review	1792	5339	6	889.8	needs-whisper	whisper-large-v3
